Zeitstempel	Name	Adresse	PLZ	Ort	Website	Spalte 6
03.11.2024 15:02:32	queerhandicap e.V.	Lindenstraße 20	50674	Köln	https://www.queerhandicap.de/	Frauen, Kinder & Jugendliche, Körperliche Einschränkungen, Körperliche Erkrankungen, LGBTQIA*, Männer
03.11.2024 15:04:37	MILES	Kleiststraße 35	10787	Berlin	https://berlin.lsvd.de/projekte/miles/	Frauen, LGBTQIA*, Männer, Menschen mit Migrationshintergrund, Psychosoziale Beratung, Rechtsberatung
03.11.2024 15:05:35	Quarteera e.V.	Arkonaplatz 5,  	10435	Berlin	http://www.quarteera.de/	LGBTQIA*
03.11.2024 15:06:52	Lesbenberatung Berlin	Kulmer Straße 20a	10783	Berlin	https://lesbenberatung-berlin.de/	Frauen, LGBTQIA*, Menschen mit Migrationshintergrund, Psychosoziale Beratung
03.11.2024 15:10:33	Mann-O-Meter	Bülowstraße 106,  	10783	Berlin	https://www.mann-o-meter.de/	LGBTQIA*, Männer, STIs, Psychosoziale Beratung, Treffpunkt,Schwul*
03.11.2024 15:12:00	Queer leben	Niebuhrstraße 59/60	10629	Berlin	https://queer-leben.de/	LGBTQIA*, Psychosoziale Beratung, Rechtsberatung, Trans*
03.11.2024 15:13:42	Schwulenberatung Berlin	Niebuhrstraße 59/60	10629	Berlin	https://www.schwulenberatungberlin.de/index.php	LGBTQIA*, Männer, STIs, Psychosoziale Beratung, Schwul*
03.11.2024 15:14:23	Schwulenberatung Berlin	Wilhelmstraße 115	10963	Berlin	https://www.schwulenberatungberlin.de/index.php	LGBTQIA*, Psychosoziale Beratung, Rechtsberatung, Schwul*
03.11.2024 15:16:24	TransInterQueer	Gürtelstraße 35	10247	Berlin	https://www.transinterqueer.org/	LGBTQIA*, Trans*
03.11.2024 15:17:14	Projekt Trans*Sexworks	Gürtelstraße 35	10247	Berlin	https://www.transinterqueer.org/themen/trans-und-sexarbeit/	LGBTQIA*, STIs, Psychosoziale Beratung, Rechtsberatung, Sexarbeit, Trans*
03.11.2024 15:18:26	GLADT e.V.	Lützowstraße 28	10785	Berlin	https://www.gladt.de/	LGBTQIA*, Menschen mit Migrationshintergrund, Schwul*
03.11.2024 15:19:24	BiBerlin e.V.	Am Friedrichshain 9	10407	Berlin	https://biberlin.de/	Frauen, LGBTQIA*, Männer, Treffpunkt
03.11.2024 15:20:15	Regenbogenfamilienzentrum	Cheruskerstraße 22	10829	Berlin	https://www.regenbogenfamilienzentrum.de/	Familienberatung, LGBTQIA*
03.11.2024 15:21:16	Queerhome*	Geusenstraße 2	10317	Berlin	https://www.queerhome.de/	LGBTQIA*, Mieterberatung
03.11.2024 15:22:18	Berliner Aids-Hilfe	Kurfürstenstraße 130	10785	Berlin	https://www.berlin-aidshilfe.de/	Frauen, LGBTQIA*, Männer, STIs, Psychosoziale Beratung, Treffpunkt
03.11.2024 15:23:27	Checkpoint BLN	Hermannstraße 256-258	12049	Berlin	https://checkpoint-bln.de/	LGBTQIA*, STIs
03.11.2024 15:24:43	Subway	Kirchbachstrasse 5	10783	Berlin	https://subway-berlin.de/	LGBTQIA*, Männer, Sexarbeit
03.11.2024 15:29:38	L-Support	Potsdamer Straße 139	10783	Berlin	https://l-support.net/	Frauen, Beratung nach Gewalterfahrung, LGBTQIA*
03.11.2024 15:30:35	MANEO	Bülowstraße 106	10783	Berlin	https://www.maneo.de/	Beratung nach Gewalterfahrung, LGBTQIA*, Männer
03.11.2024 15:31:29	Gewaltschutzambulanz	Turmstraße 21 (Haus N)	10559	Berlin	https://gewaltschutzambulanz.charite.de/	Frauen, Beratung nach Gewalterfahrung, LGBTQIA*, Männer, Menschen mit Migrationshintergrund
03.11.2024 15:35:21	LesMigraS	Kulmer Str. 20a	10783	Berlin	https://lesmigras.de/	Frauen, Beratung nach Gewalterfahrung, LGBTQIA*, Menschen mit Migrationshintergrund, Trans*
05.11.2024 16:46:16	TransInterQueer e.V.	Gürtelstraße 35 	10247	Berlin	https://www.transinterqueer.org/	Non-Binär, Psychosoziale Beratung, Trans*
19.11.2024 09:49:38	Dock Nord	Genter Str. 56	13353	Berlin	https://www.dock-nord.de/	Alkohol & Drogen, Selbsthilfegruppe
30.11.2024 10:58:01	Sprengelhaus - Interkulturelles Gemeinwesenzentrum	Sprengelstraße 15	13353	Berlin	https://sprengelhaus-wedding.de/	Selbsthilfegruppe, Treffpunkt
30.11.2024 11:01:36	Housing First Berlin	Samoastr. 7	13353	Berlin	https://housingfirst.berlin/	Wohnungslosigkeit
30.11.2024 11:02:23	Housing First Berlin	Weichselstr. 8	10247	Berlin	https://housingfirst.berlin/	Wohnungslosigkeit
